,Folio,Nombre,Descripcion,Cantidad,Embalaje,
1,3541,NAMINSA S.A. DE C.V.,CLAMS. 3832 C18 H60 NP 80 UNDS,80,NA,higo
2,828,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CHAROLA FIGS/HIGOS,2300,NA,higo
3,832,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CHAROLA FIGS/HIGOS,1088,NA,higo
4,3584,NAMINSA S.A. DE C.V.,CLAMS. 3832 C18 H60 NP 80 UNDS,2080,NA,higo
5,3610,NAMINSA S.A. DE C.V.,CLAMS. 3832 C18 H60 NP 80 UNDS,2000,NA,higo
6,1262,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,ALPASA CAJA ARANDANO,125,NA,caja para material
7,1262,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CAJACOOLPACK,125,NA,caja para material
8,1262,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CAJA ARANDANOS 5X5,125,NA,caja para material
9,1262,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CAJA IBZA ALPAZA,125,NA,caja para material
10,1262,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CAJA DUNA,125,NA,caja para material
11,1262,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CAJA ORGANIC BLACKBERRY,125,NA,caja para material
12,1341,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,ALPASA CAJA ARANDANO,125,NA,caja para material
13,1341,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CAJA DUNA,115,NA,caja para material
14,1341,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CAJA IBZA ALPAZA,141,NA,caja para material
15,1341,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CAJACOOLPACK,126,NA,caja para material
16,1341,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CAJA ORGANIC BLACKBERRY,125,NA,caja para material
17,1341,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CAJA ARANDANOS 5X5,135,NA,caja para material
20,848,CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV,CHAROLA 18 OZ,3620,12x18OZ,bien
21,72052,COOL PAK AG PACKAGING S DE RL DE CV,7256187HURSTBLKNAMXPDCV Hursts 12oz Blackberry,48,12OZ,600
22,71996,COOL PAK AG PACKAGING S DE RL DE CV,7256187HURSTBLKNAMXPDCV Hursts 12oz Blackberry,48,12OZ,600
23,72722,COOL PAK AG PACKAGING S DE RL DE CV,7256187HURSTBLKNAMXPDCV Hursts 12oz Blackberry,24,12OZ,600
