"","Fecha","Folio","Nombre","Descripcion","Cantidad","Unidad","ClaveUnidad","ValorUnitario","ClaveProdServ","TipoCambio","Importe","SubTotal","Total","Moneda","Material","Marca","Clave","Unds","Fruta","Embalaje","Dolar","Unitario_real","Unitario_iva"
"1",2017-09-14,63,"NAMINSA S.A. DE C.V.","Nota de Crédito que aplica al Comprobante Fiscal con Folio 3105 CC85B6CC-FE0B-4924-B2D5-814B1B2E1041 de Fecha 01/19/2017",1,"No aplica",NA,29.31,"0",17.781,29.31,29.31,33.9996,"USD","NOTA DE CREDITO",NA,NA,NA,NA,NA,17.781,29.31,33.9996
"2",2017-09-20,3541,"NAMINSA S.A. DE C.V.","CLAMS. 3832 C18 H60 NP 80 UNDS",80,"PIEZAS",NA,0.225,"0",17.761,18,18,20.88,"USD","CLAMS",NA,"3832",80,NA,NA,17.761,0.225,0.261
"3",2017-09-21,828,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV","SEPARADORCHICO",2156,"No aplica",NA,0.106301006203704,"0",1,229.184969375186,51869.84,60169.01,"MXN",NA,NA,NA,NA,NA,NA,17.7797,0.106301006203704,0.123309167196297
"4",2017-09-21,828,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV","TARIMAS CON CERTIFICADO PARA EXPORTACION Y EMPLAYE",12,"PIEZA",NA,12.064320545341,"0",1,144.771846544092,51869.84,60169.01,"MXN","TARIMA",NA,NA,NA,NA,NA,17.7797,12.064320545341,13.9946118325956
"5",2017-09-21,828,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV","GRABADO HIGOS",1,"No aplica",NA,179.980539604155,"0",1,179.980539604155,51869.84,60169.01,"MXN",NA,NA,NA,NA,NA,NA,17.7797,179.980539604155,208.77742594082
"6",2017-09-21,828,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV","CHAROLA FIGS/HIGOS",2300,"PIEZA",NA,1.02757639330247,"0",1,2363.42570459569,51869.84,60169.01,"MXN","CAJAS",NA,NA,NA,NA,NA,17.7797,1.02757639330247,1.19198861623087
"7",2017-09-22,832,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV","CHAROLA FIGS/HIGOS",1088,"PIEZA",NA,1.02649676375405,"0",1,1116.8284789644,19877.76,23058.2,"MXN","CAJAS",NA,NA,NA,NA,NA,17.7984,1.02649676375405,1.19073624595469
"8",2017-09-25,36098,"Embalajes Agricolas Sambramex S de RL de CV","2398 MIXIM TIE SHT 9-12 DOWN",8,"EA",NA,801000,"0",17.8545,6.41,531.81,616.9,"USD",NA,NA,NA,NA,NA,NA,17.8545,0.80125,0.92945
"9",2017-09-25,1480,"ARELY ALEJANDRA NUÑEZ MARTINEZ","CINTA ADHESIVA 48*150",36,"PIEZA",NA,NA,"0",NA,NA,26056,30224.96,NA,"MASKING",NA,NA,NA,NA,NA,17.8545,NA,NA
"10",2017-09-25,36098,"Embalajes Agricolas Sambramex S de RL de CV","MIXIM 18OZ UNL CLAM W/BLK PAD 270/CS",2160,"EA",NA,165000,"0",17.8545,356.4,531.81,616.9,"USD","PADS",NA,NA,NA,NA,"18OZ",17.8545,0.165,0.1914
"11",2017-09-25,1480,"ARELY ALEJANDRA NUÑEZ MARTINEZ","FLEJE VERDE LISO DE 1/2",5,"PIEZA",NA,NA,"0",NA,NA,26056,30224.96,NA,"FLEJE",NA,NA,NA,NA,NA,17.8545,NA,NA
"12",2017-09-25,36098,"Embalajes Agricolas Sambramex S de RL de CV","S/P 8-18OZ GROWN FRESH HF TRAY MIXIM KRAFT",260,"EA",NA,650000,"0",17.8545,169,531.81,616.9,"USD","CAJAS",NA,NA,NA,NA,"8X18OZ",17.8545,0.65,0.754
"13",2017-09-25,1480,"ARELY ALEJANDRA NUÑEZ MARTINEZ","CAJA GRAPA C-26 C/5 MILLARES",1,"PIEZA",NA,NA,"0",NA,NA,26056,30224.96,NA,"CAJA GRAPA",NA,NA,NA,NA,NA,17.8545,NA,NA
"14",2017-09-25,1480,"ARELY ALEJANDRA NUÑEZ MARTINEZ","TARIMA PLASTICA 1*120",50,"PIEZA",NA,NA,"0",NA,NA,26056,30224.96,NA,"TARIMA",NA,NA,NA,NA,NA,17.8545,NA,NA
"15",2017-09-25,1480,"ARELY ALEJANDRA NUÑEZ MARTINEZ","ESQUINERO CARTON BCO 4*4"" C-190 DE 1.00 MT",400,"PIEZA",NA,NA,"0",NA,NA,26056,30224.96,NA,"ESQUINERO",NA,NA,NA,NA,"4.4OZ",17.8545,NA,NA
"16",2017-09-25,1480,"ARELY ALEJANDRA NUÑEZ MARTINEZ","ESQUINERO CARTON BCO 1.90 MTS C-190 2.5""",400,"PIEZA",NA,NA,"0",NA,NA,26056,30224.96,NA,"ESQUINERO",NA,NA,NA,NA,NA,17.8545,NA,NA
"17",2017-09-27,3569,"NAMINSA S.A. DE C.V.","CLAMS.3720 ARANDANOS 6 OZ NP 5X5 900 UNDS",18000,"PIEZAS",NA,0.04818,"0",17.8831,867.24,867.24,1005.9984,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",17.8831,0.04818,0.0558888
"18",2017-09-27,3568,"NAMINSA S.A. DE C.V.","CLAMS.4007 ARANDANOS 18OZ 300 UNDS",9900,"PIEZAS",NA,0.11018,"0",17.8831,1090.782,1090.782,1265.30712,"USD","CLAMS",NA,"4007",300,"ARANDANO","18OZ",17.8831,0.11018,0.1278088
"19",2017-09-29,3573,"NAMINSA S.A. DE C.V.","PADS ABSORBENTES 90X90 NEGROS 24000 UNDS",72000,"PIEZAS",NA,0.0055,"0",18.13,396,396,459.36,"USD","PADS",NA,NA,24000,NA,NA,18.13,0.0055,0.00638
"20",2017-09-30,1491,"ARELY ALEJANDRA NUÑEZ MARTINEZ","ESQUINERO CARTON BCO 1.90 MTS C-180 2.5""",375,"PIEZA",NA,NA,"0",NA,NA,14844.75,17219.91,NA,"ESQUINERO",NA,NA,NA,NA,NA,18.1219333333333,NA,NA
"21",2017-09-30,1491,"ARELY ALEJANDRA NUÑEZ MARTINEZ","ESQUINERO CARTON BCO DE 1.00 MT 4*4"" C-190 ",400,"PIEZA",NA,NA,"0",NA,NA,14844.75,17219.91,NA,"ESQUINERO",NA,NA,NA,NA,"4.4OZ",18.1219333333333,NA,NA
"22",2017-09-30,1491,"ARELY ALEJANDRA NUÑEZ MARTINEZ","FLEJE VERDE LISO DE 1/2",3,"PIEZA",NA,NA,"0",NA,NA,14844.75,17219.91,NA,"FLEJE",NA,NA,NA,NA,NA,18.1219333333333,NA,NA
"23",2017-09-30,3539,"Abacart Agricola, S. de P.R. de R.L.","ETIQ X PIST GS BCA 8 GS 8 DIG - PAQ C/10 ROLLOS-10,000 ET - USD",50,"PAQUETE",NA,3.42,"0",18.1979,171,760,881.6,"USD","TRAZABILIDAD",NA,NA,NA,NA,NA,18.1219333333333,3.42,3.9672
"24",2017-09-30,3539,"Abacart Agricola, S. de P.R. de R.L.","ETIQ PISTOLA PLASTICA TRAK 8GS - USD",20,"PIEZA",NA,29.45,"0",18.1979,589,760,881.6,"USD","PISTOLA",NA,NA,NA,NA,NA,18.1219333333333,29.45,34.162
"25",2017-09-30,870,"AMBROCIO LOPEZ SOTO","TARIMAS ARMADAS DE MADERA MEDIDAS: 40"" X 48""  TIPO: BERRIES    C/TT",100,"M3",NA,7.44953628935838,"0",1,744.953628935838,13500,15660,"MXN","TARIMA",NA,NA,NA,NA,NA,18.1219333333333,7.44953628935838,8.64146209565572
"26",2017-09-30,1491,"ARELY ALEJANDRA NUÑEZ MARTINEZ","CINTURON PARA GEL REFRIGERANTE",46.45,"KILO",NA,NA,"0",NA,NA,14844.75,17219.91,NA,"GEL",NA,NA,NA,NA,NA,18.1219333333333,NA,NA
"27",2017-09-30,1492,"ARELY ALEJANDRA NUÑEZ MARTINEZ","CUBIERTA TERMICA DE 1.80 MTS",50,"PIEZA",NA,26.5,"0",17.97,1325,1325,1537,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,18.1219333333333,26.5,30.74
"28",2017-10-02,848,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV","CHAROLA 18 OZ",3620,"PIEZA",NA,1.00679770609565,"0",1,3644.60769606625,67853.4,78709.94,"MXN","CAJAS",NA,NA,NA,NA,"12X18OZ",18.1466444444444,1.00679770609565,1.16788533907095
"29",2017-10-02,848,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV","TARIMAS CON CERTIFICADO PARA EXPORTACION Y EMPLAYE",8,"PIEZA",NA,11.8203671569522,"0",1,94.5629372556175,67853.4,78709.94,"MXN","TARIMA",NA,NA,NA,NA,NA,18.1466444444444,11.8203671569522,13.7116259020645
"30",2017-10-03,3589,"NAMINSA S.A. DE C.V.","CLAMS. 3705 MORA 6OZ C/PAD PEGADO 600 UNDS",19800,"PIEZAS",NA,0.05062,"0",18.159,1002.276,1002.276,1162.64016,"USD","PADS",NA,"3705",600,"ZARZAMORA","6OZ",18.159,0.05062,0.0587192
"31",2017-10-03,3584,"NAMINSA S.A. DE C.V.","CLAMS. 3832 C18 H60 NP 80 UNDS",2080,"PIEZAS",NA,0.225,"0",18.159,468,468,542.88,"USD","CLAMS",NA,"3832",80,NA,NA,18.159,0.225,0.261
"32",2017-10-03,3588,"NAMINSA S.A. DE C.V.","CLAMS.3720 ARANDANOS 6 OZ NP 5X5 900 UNDS",19800,"PIEZAS",NA,0.04818,"0",18.159,953.964,953.964,1106.59824,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",18.159,0.04818,0.0558888
"33",2017-10-04,3610,"NAMINSA S.A. DE C.V.","CLAMS. 3832 C18 H60 NP 80 UNDS",2000,"PIEZAS",NA,0.225,"0",18.2337,450,450,522,"USD","CLAMS",NA,"3832",80,NA,NA,18.2337,0.225,0.261
"34",2017-10-05,3616,"NAMINSA S.A. DE C.V.","CLAMS.4007 ARANDANOS 18OZ 300 UNDS",3600,"PIEZAS",NA,0.10768,"0",18.2113,387.648,387.648,449.67168,"USD","CLAMS",NA,"4007",300,"ARANDANO","18OZ",18.2113,0.10768,0.1249088
"35",2017-10-05,3617,"NAMINSA S.A. DE C.V.","PADS ABSORBENTES 90X90 NEGROS 24000 UNDS",72000,"PIEZAS",NA,0.0055,"0",18.2113,396,396,459.36,"USD","PADS",NA,NA,24000,NA,NA,18.2113,0.0055,0.00638
"36",2017-10-05,858,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV","CHAROLA 6OZ",15060,"PIEZA","H87",0.378885636939702,"24121503",NA,5706.01769231192,106273.5,123277.26,"MXN","CAJAS",NA,NA,NA,NA,"12X6OZ",18.2113,0.378885636939702,0.439507338850055
"37",2017-10-05,74103,"Novatec Pagani S.A. de C.V.","TAR NOVAPAL 130 1.2X1X0.13 CAL S/CEJA",300,"Piezas",NA,9.22778714314739,"0",1,2768.33614294422,50415,58481.4,"MXN","TARIMA",NA,NA,NA,NA,NA,18.2113,9.22778714314738,10.704233086051
"38",2017-10-05,858,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV","TARIMAS CON CERTIFICADO PARA EXPORTACION Y EMPLAYE",11,"PIEZA","H87",11.778401322256,"95131500",NA,129.562414544816,106273.5,123277.26,"MXN","TARIMA",NA,NA,NA,NA,NA,18.2113,11.778401322256,13.6629455338169
"39",2017-10-05,3619,"NAMINSA S.A. DE C.V.","CLAMS.3720 ARANDANOS 6 OZ NP 5X5 900 UNDS",18000,"PIEZAS",NA,0.04615,"0",18.2113,830.7,830.7,963.612,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",18.2113,0.04615,0.053534
"40",2017-10-06,860,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV","CHAROLA 6OZ",2320,"PIEZA","H87",0.378885636939702,"24121503",NA,879.014677700109,16008,18569.28,"MXN","CAJAS",NA,NA,NA,NA,"12X6OZ",18.2113,0.378885636939702,0.439507338850055
"41",2017-10-06,68761,"COOL PAK AG PACKAGING S DE RL DE CV","CORRGTETRAYBLKGENIP4406OZ 32219 CAJA 6OZ BLK GENERICA",1500,"Each",NA,0.385,"0",18.2113,577.5,577.5,669.9,"USD","CAJAS",NA,NA,NA,NA,"12X6OZ",18.2113,0.385,0.4466
"42",2017-10-09,3624,"NAMINSA S.A. DE C.V.","CLAMS. 3705 MORA 6OZ C/PAD PEGADO 600 UNDS",31200,"PIEZAS",NA,0.05062,"0",18.306,1579.344,1579.344,1832.03904,"USD","PADS",NA,"3705",600,"ZARZAMORA","6OZ",18.306,0.05062,0.0587192
"43",2017-10-10,2301,"International Baskets S.A. de C.V.","6 OZ #2 BLACKBERRY ALPASA FARMS",201600,"PIEZAS",NA,0.046,"0",18.5522,9273.6,9273.6,10757.376,"USD","CLAMS","ALPASA",NA,NA,"ZARZAMORA","6OZ",18.4011,0.046,0.05336
"44",2017-10-10,1500,"ARELY ALEJANDRA NUÑEZ MARTINEZ","BASE TERMICA",40,"PIEZA",NA,6.99,"0",18.25,279.6,1339.6,1553.94,"USD","BASES TERMICAS",NA,NA,NA,NA,NA,18.4011,6.99,8.1084
"45",2017-10-10,1499,"ARELY ALEJANDRA NUÑEZ MARTINEZ","ESQUINERO CARTON BCO 1.90 MTS C-180 2.5""",200,"PIEZA",NA,NA,"0",NA,NA,20207.25,23440.41,NA,"ESQUINERO",NA,NA,NA,NA,NA,18.4011,NA,NA
"46",2017-10-10,3626,"NAMINSA S.A. DE C.V.","CLAMS.3720 ARANDANOS 6 OZ NP 5X5 900 UNDS",20700,"PIEZAS",NA,0.04615,"0",18.5522,955.305,955.305,1108.1538,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",18.4011,0.04615,0.053534
"47",2017-10-10,1499,"ARELY ALEJANDRA NUÑEZ MARTINEZ","CINTURON PARA GEL REFRIGERANTE",59.95,"KILO",NA,NA,"0",NA,NA,20207.25,23440.41,NA,"GEL",NA,NA,NA,NA,NA,18.4011,NA,NA
