"","Folio","Nombre","Fecha","Descripcion","Cantidad","Unidad","ClaveUnidad","ValorUnitario","ClaveProdServ","TipoCambio","Importe","SubTotal","Total","Moneda","Material","Marca","Clave","Unds","Fruta","Embalaje","Precio_real","Unitario_real"
"1",2461,"International Baskets S.A. de C.V.",2017-12-22,"6 OZ #2 BLACKBERRY ALPASA FARMS",144000,"PIEZAS",NA,0.046,"0",19.2291,6624,6624,7683.84,"USD","CLAMS","ALPASA",NA,NA,"ZARZAMORA","6OZ",0.046,0.046
"2",45225,"BIO PAPPEL S.A.B. DE C.V.",2017-12-28,"SEPARADOR  PARTE DE: INTERLOCK PARA CAJA PUNET CAT  1",1,"MILLAR","MIL",633.61,"14121500",19.7867,633.61,3557.61,4126.83,"USD","INTERLOCK","PUNNET",NA,NA,"ZARZAMORA","PUNNET",NA,633.61
"3",425687,"INTERNATIONAL PAPER MEXICO COMPANY S DE RL DE CV",2018-05-02,"CARTON CORRUGADO CAJA 12-18 ONZAS",9150,"Pieza","H87",0.88,"24112505",18.6847,8052,8052,9340.32,"USD","CAJAS",NA,NA,NA,NA,"18OZ",0.88,0.88
"4",4436,"NAMINSA S.A. DE C.V.",2018-04-05,"Clamshell 4x4 3407",12000,"PIEZAS","H87",0.04072,"24112902",18.2044,488.64,639.84,742.21,"USD","CLAMS",NA,"3407",NA,NA,"4.4OZ",0.04072,0.04072
"5",74,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-02-03,"CUBIERTAS TERMICAS DE 1.55 MTS",20,NA,"H87",22.01,"13111300",18.4,440.2,1249.8,1449.77,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,NA,22.01
"6",47135,"BIO PAPPEL S.A.B. DE C.V.",2018-04-22,"EXTERIOR  PARTE DE: CAJA BERRIES 12 ONZAS",17.6,"MILLAR","MIL",422.75,"14121500",18.2819,7440.4,7440.4,8630.86,"USD","CAJAS",NA,NA,NA,NA,"12OZ",NA,422.75
"7",1499,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2017-10-10,"GEL REFRIGERANTE",2000,"PIEZA",NA,5.4,"0",NA,10800,20207.25,23440.41,NA,"GEL",NA,NA,NA,NA,NA,5.4,5.4
"8",3894,"NAMINSA S.A. DE C.V.",2017-12-26,"CLAM ARANDANO 6OZ 5X4 NP",22500,"PIEZAS","H87",0.04818,"24112902",19.3962,1084.05,2420.42,2807.69,"USD","CLAMS",NA,NA,NA,"ARANDANO","6OZ",0.04818,0.04818
"9",76540,"COOL PAK AG PACKAGING S DE RL DE CV",2018-02-14,"CORRGTETRAYBSHGENIP4404X5 34187 CAJA 4X5 GENERICA-INX",575,"Case","XBX",0.45,"24112505",18.8815,258.75,258.75,300.15,"USD","CAJAS",NA,"34187",NA,NA,"4.4OZ",NA,0.45
"10",2473,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2017-12-20,"CHAROLA ALPASA 12/6 OZ",10800,"PIEZA","H87",0.313,"24121503",19.1913,3380.4,4946.4,5737.82,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
