"Semana","Temporada","Clave_producto","Precio_semanal"
"35","2015-2016",270201,94.9972522024681
"36","2015-2016",130201,85
"36","2015-2016",210401,268.285977647194
"36","2015-2016",270201,94.932443702324
"37","2015-2016",130201,65.3571428571429
"37","2015-2016",210401,247.923091146324
"37","2015-2016",240201,90
"37","2015-2016",270201,84.3976757365061
"37","2017-2018",210404,900
"38","2015-2016",10201,154.69304382253
"38","2015-2016",130201,64.3597520994959
"38","2015-2016",210401,246.228381601519
"38","2015-2016",230202,160
"38","2017-2018",10204,300
"38","2017-2018",210404,900
"39","2013-2014",10201,125.909806588943
"39","2013-2014",30201,116.89552238806
"39","2014-2015",10201,119.444444444444
"39","2014-2015",111401,170
"39","2015-2016",10201,141.687475414085
"39","2015-2016",61301,124.915254237288
"39","2015-2016",111401,240
"39","2015-2016",130201,62.4920452051788
"39","2015-2016",210401,244.465525444125
"39","2015-2016",330202,160
"39","2016-2017",10201,119.645734696156
"39","2016-2017",230202,200
"39","2017-2018",10201,150
"39","2017-2018",10204,320
"39","2017-2018",210404,996.938775510204
"39","2017-2018",230202,200
"40","2013-2014",10201,120.931236376254
"40","2013-2014",30201,112.936514536797
"40","2014-2015",10201,118.011298226922
"40","2014-2015",80201,84
"40","2014-2015",111401,165.185897435897
"40","2015-2016",10201,139.915677777133
"40","2015-2016",61301,126.332292251544
"40","2015-2016",130201,60.1333333333333
"40","2015-2016",140201,80
"40","2015-2016",210401,256.674642511744
"40","2015-2016",330202,160
"40","2016-2017",10201,102.394986208929
"40","2016-2017",210401,303.333333333333
"40","2016-2017",210402,528.030303030303
"40","2016-2017",230202,200
"40","2016-2017",390204,650
"40","2017-2018",10201,143.629270069799
"40","2017-2018",10204,312
"40","2017-2018",210404,993.821867251657
"40","2017-2018",230202,200
"41","2013-2014",10201,108.781127948779
"41","2013-2014",30201,108.578640744088
"41","2014-2015",10201,119.517244394706
"41","2014-2015",80201,97.9232625628902
"41","2014-2015",111401,174.403409090909
"41","2014-2015",130201,62.520292098341
"41","2014-2015",140201,90
"41","2014-2015",140203,130
"41","2014-2015",150201,66.9229937270171
"41","2014-2015",160202,218
"41","2014-2015",170201,63.0769230769231
"41","2015-2016",10201,132.350661721255
"41","2015-2016",61301,124.690187069461
"41","2015-2016",101001,130
"41","2015-2016",130201,62.147114820785
"41","2015-2016",140201,87.8520408163265
"41","2015-2016",210401,293.361437711477
"41","2015-2016",210404,1250
"41","2015-2016",221201,115
"41","2015-2016",230202,210
"41","2015-2016",330202,165.945305770887
"41","2015-2016",341001,123.34466579188
"41","2016-2017",10201,81.7448944633671
"41","2016-2017",61301,103.754699291327
"41","2016-2017",210401,275
"41","2016-2017",210402,494.685990338164
"41","2016-2017",230202,196.788990825688
"41","2016-2017",341001,105
"41","2016-2017",390204,525
"41","2017-2018",10201,125.686704693044
"41","2017-2018",10204,386.70177970178
"41","2017-2018",61301,120
"41","2017-2018",130204,90
"41","2017-2018",210401,350
"41","2017-2018",210404,991.666666666667
"41","2017-2018",221201,120
"41","2017-2018",230202,179.311258278146
"41","2017-2018",442004,734.308562968158
"42","2013-2014",10201,100
"42","2013-2014",30201,107.101098330151
"42","2014-2015",0,NA
"42","2014-2015",10201,98.2863865342054
"42","2014-2015",10204,180
"42","2014-2015",80201,92.4
"42","2014-2015",111401,160
"42","2014-2015",130201,49.1111111111111
"42","2014-2015",140201,88.4578237167879
"42","2014-2015",140203,110
"42","2014-2015",150201,90
"42","2014-2015",160202,200
"42","2014-2015",170201,56.1756925710453
"42","2015-2016",10201,124.755537759574
"42","2015-2016",61301,114.586887651216
"42","2015-2016",101001,120.855829155472
"42","2015-2016",130201,60.8571428571429
"42","2015-2016",210401,270.95652173913
"42","2015-2016",210402,300
"42","2015-2016",210404,1250
"42","2015-2016",221201,110
"42","2015-2016",230202,160
"42","2015-2016",330202,189.569533475783
"42","2015-2016",341001,122.552113214764
"42","2015-2016",351001,115.496613995485
"42","2016-2017",10201,81.1990359043404
"42","2016-2017",61301,105.029615004936
"42","2016-2017",101001,104.158249158249
"42","2016-2017",120301,110
"42","2016-2017",210401,301.817126580611
"42","2016-2017",210402,506.593728851793
"42","2016-2017",221201,105
"42","2016-2017",230202,195.016129032258
"42","2016-2017",341001,105
"42","2016-2017",390204,440
"42","2017-2018",10201,96.9824760589987
"42","2017-2018",10204,310.990990990991
"42","2017-2018",61301,120
"42","2017-2018",210404,911.100122500083
"42","2017-2018",221201,120
"42","2017-2018",230202,150.823416065498
"42","2017-2018",442004,729.646990740741
"43","2013-2014",10201,97.5
"43","2013-2014",30201,109.574438439802
"43","2014-2015",10201,76.3838430699811
"43","2014-2015",61301,76.3860288065844
"43","2014-2015",101001,79.3794794520548
"43","2014-2015",120301,113.333333333333
"43","2014-2015",130201,41.25
"43","2014-2015",140201,62.5
"43","2014-2015",160202,190
"43","2014-2015",170201,41.6666666666667
"43","2014-2015",190301,111.368932038835
"43","2014-2015",200202,100
"43","2014-2015",210401,263.014492753623
"43","2015-2016",10201,145.094185310258
"43","2015-2016",130201,61.3418086640671
"43","2015-2016",210401,269.151888219083
"43","2015-2016",210402,290
"43","2015-2016",210404,1250
"43","2015-2016",330202,167.87037037037
"43","2015-2016",341001,103.650793650794
"43","2016-2017",10201,83.1841571813187
"43","2016-2017",61301,95
"43","2016-2017",101001,95
"43","2016-2017",120301,110
"43","2016-2017",210401,288.23560624036
"43","2016-2017",210402,475
"43","2016-2017",221201,101.666666666667
"43","2016-2017",230202,179.047619047619
"43","2016-2017",390204,296.666666666667
"43","2017-2018",10201,97.8290550214708
"43","2017-2018",10204,315
"43","2017-2018",61301,110.233753353394
"43","2017-2018",140204,300
"43","2017-2018",210401,360
"43","2017-2018",210404,933.177571406099
"43","2017-2018",221201,121.118274030648
"43","2017-2018",230202,154.027175686615
"43","2017-2018",442004,700
"43","2017-2018",480204,322
"44","2013-2014",10201,106.666666666667
"44","2013-2014",30201,112.993613741536
"44","2014-2015",10201,79.6244907514719
"44","2014-2015",61301,79.4326666666667
"44","2014-2015",70301,115
"44","2014-2015",90301,113.966766837047
"44","2014-2015",101001,80
"44","2014-2015",120301,114.967556961369
"44","2014-2015",140201,65
"44","2014-2015",160202,190
"44","2014-2015",170201,44.4924812030075
"44","2014-2015",190301,115
"44","2014-2015",200202,100
"44","2014-2015",210401,261.299435028249
"44","2014-2015",221201,90
"44","2015-2016",10201,111.373645250893
"44","2015-2016",61301,94.726430976431
"44","2015-2016",130201,52.3076923076923
"44","2015-2016",140201,145
"44","2015-2016",210401,300
"44","2015-2016",210402,550
"44","2015-2016",210404,1250
"44","2015-2016",221201,96.6666666666667
"44","2015-2016",330202,188.156288156288
"44","2015-2016",341001,89.480122324159
"44","2016-2017",10201,90.1222421129256
"44","2016-2017",61301,94.4838207961003
"44","2016-2017",120301,130
"44","2016-2017",130201,65
"44","2016-2017",210401,295.648415170304
"44","2016-2017",210402,435
"44","2016-2017",221201,95.1895151975315
"44","2016-2017",230202,160
"44","2016-2017",390204,250
"44","2017-2018",10201,115.845258152121
"44","2017-2018",10204,330
"44","2017-2018",61301,120.202414953161
"44","2017-2018",210401,359.971878515186
"44","2017-2018",210404,938.875
"44","2017-2018",221201,116.179781501067
"44","2017-2018",230202,172.794973280167
"44","2017-2018",442004,650
"44","2017-2018",470201,118.608039250448
"44","2017-2018",480204,309.083079779449
"45","2013-2014",10201,112.383850458133
"45","2013-2014",30201,108.686234937507
"45","2014-2015",10201,78.252270827202
"45","2014-2015",10204,160
"45","2014-2015",70301,117.241379310345
"45","2014-2015",101001,71.305
"45","2014-2015",130201,48.5764705882353
"45","2014-2015",160202,185
"45","2014-2015",170201,45
"45","2014-2015",190301,111.666666666667
"45","2014-2015",210401,250
"45","2015-2016",10201,91.1345580141429
"45","2015-2016",61301,85.3861404617221
"45","2015-2016",70301,105
"45","2015-2016",111401,295
"45","2015-2016",120301,105
"45","2015-2016",210401,298.473525912216
"45","2015-2016",210402,515.51724137931
"45","2015-2016",210404,1250
"45","2015-2016",221201,90.7174392935982
"45","2015-2016",311001,78
"45","2015-2016",330202,175.853801169591
"45","2015-2016",341001,82.2888608305275
"45","2015-2016",351001,78
"45","2016-2017",10201,91.0574201256999
"45","2016-2017",61301,89.541547277937
"45","2016-2017",130201,50
"45","2016-2017",210401,280
"45","2016-2017",210402,420
"45","2016-2017",221201,94.6107110970743
"45","2016-2017",230202,159.106227106227
"45","2016-2017",390204,250
"45","2017-2018",10201,115.62106019799
"45","2017-2018",10204,333.838383838384
"45","2017-2018",61301,114.149628703773
"45","2017-2018",101001,110
"45","2017-2018",120301,180.639097744361
"45","2017-2018",210401,347.61600083626
"45","2017-2018",210402,448.907766990291
"45","2017-2018",210404,949.269811335741
"45","2017-2018",221201,118.930329817862
"45","2017-2018",230202,165.097590331468
"45","2017-2018",341001,122.69647696477
"45","2017-2018",442004,650
"45","2017-2018",470201,115.183577820068
"45","2017-2018",480204,335.384663191465
"46","2013-2014",10201,95.9361494986495
"46","2013-2014",20301,88.5
"46","2013-2014",30201,96.22383411688
"46","2014-2015",10201,79.1739956069301
"46","2014-2015",10204,160
"46","2014-2015",61301,80
"46","2014-2015",70301,110.290178571429
"46","2014-2015",101001,80
"46","2014-2015",120301,110
"46","2014-2015",130201,48.6186770428016
"46","2014-2015",140204,160
"46","2014-2015",160202,176.666666666667
"46","2014-2015",170201,45
"46","2014-2015",190301,110
"46","2014-2015",200202,100
"46","2014-2015",210401,250
"46","2014-2015",221201,80
"46","2014-2015",230202,132.905557027589
"46","2015-2016",10201,84.789392394769
"46","2015-2016",10204,250
"46","2015-2016",61301,76.8
"46","2015-2016",120301,105.344645039246
"46","2015-2016",130201,45
"46","2015-2016",140201,60
"46","2015-2016",210401,250.185714285714
"46","2015-2016",210402,365.65
"46","2015-2016",210404,1211.80555555556
"46","2015-2016",221201,77
"46","2015-2016",330202,157.394314868805
"46","2015-2016",341001,75.916217928413
"46","2016-2017",10201,125.102560500594
"46","2016-2017",61301,99.8888888888889
"46","2016-2017",90301,140
"46","2016-2017",101001,85
"46","2016-2017",130201,50
"46","2016-2017",210401,296.172566371681
"46","2016-2017",210402,460.736842105263
"46","2016-2017",210404,436.4
"46","2016-2017",221201,86.9703648803221
