"","Producto","2014-2015","2015-2016","2016-2017","2017-2018","fit","lwr","upr"
"1","ARA BER_12X12OZ_DEL MONTE",NA,NA,NA,2283,2283,NA,NA
"2","ARA BER_12X18OZ_NATURE PARTNER ARA",3415,8937,16114,14240,20589.5,4174.67155622815,37004.3284437719
"3","ARA BER_12X6OZ_ALPASA ARAN",401,2830,38334,91141,110107.5,15332.5863295647,204882.413670435
"4","ARA BER_12X6OZ_DEL MONTE ARAN",NA,NA,NA,17152,17152,NA,NA
"5","ARA BER_8X18OZ_NATURES PARTNER ARAN",NA,NA,NA,552,552,NA,NA
"6","ARA ORG_12X18OZ_NATURES PARTNER ORG",NA,NA,NA,7408,7408,NA,NA
"7","ARA ORG_12X6OZ_ALPASA ARA ORGANIC",NA,NA,6624,30845,55066,NA,NA
"8","ARA ORG_8X18OZ_NATURES PARTNER ARAN ORG",NA,NA,NA,27,27,NA,NA
"9","ZAR CN_12X125G_ROUGE PARFUM",53547,45091,53871,62926,63088,27533.9442839823,98642.0557160177
"10","ZAR CN_12X150G_PUNNET",7059,50218,116422,170435,225116.5,189467.175871225,260765.824128775
"11","ZAR CN_12X18OZ_NATURES PARTNER",13341,14816,19087,12831,15704,-2480.95957007836,33888.9595700784
"12","ZAR CN_12X4.4OZ_ALPASA",NA,11127,7443,33882,40239,-198446.940473434,278924.940473434
"13","ZAR CN_12X4.4OZ_HURSTS",12455,4712,8400,7340,5312.5,-13038.3104749752,23663.3104749752
"14","ZAR CN_12X4.4OZ_SANLUCAR",NA,NA,NA,1140,1140,NA,NA
"15","ZAR CN_12X6OZ_ALPASA",244426,266881,375812,302794,368487,82723.8207949714,654250.179205029
"16","ZAR CN_12X6OZ_DEL MONTE",NA,NA,NA,27928,27928,NA,NA
"17","ZAR CN_12X6OZ_SIN ETIQUETA",1687,NA,NA,1143,961.666666666667,NA,NA
"18","ZAR CN_8X12OZ_HURSTS",29581,22389,84435,87332,114759,6147.39260205481,223370.607397945
"19","ZAR ORG_12X18OZ_NATURES PARTNER ORG",2448,6677,8081,5190,8006.5,-5315.22003938276,21328.2200393828
"20","ZAR ORG_12X6OZ_ALPASA ORG",36727,76250,106162,106139,140856.5,65257.21612422,216455.78387578
"21","ZAR ORG_12X6OZ_HURSTS ORG",NA,5118,3147,19021,22998.3333333333,-118400.285919345,164396.952586012
